Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
CAGE_adenocarcinoma_cell_line_IM95m	5041	Adenocarcinoma Cell Line IM95m	CAGE	IM95m	Cancer	Unknown	Cell Line
CAGE_clear_cell_carcinoma_cell_line_JHOC_5	4937	Clear Cell Carcinoma Cell Line JHOC-5 CAGE Track	CAGE	JHOC-5	Cancer	Unknown	Cell Line
CAGE_carcinosarcoma_cell_line_JHUCS_1	4939	Carcinosarcoma Cell Line JHUCS-1 CAGE Track	CAGE	JHUCS-1	Cancer	Unknown	Cell Line
CAGE_endometrioid_adenocarcinoma_cell_line_JHUEM_1	4940	Endometrioid Adenocarcinoma Cell Line JHUEM-1 CAGE Track	CAGE	JHUEM-1	Cancer	Unknown	Cell Line
CAGE_acute_lymphoblastic_leukemia__T_ALL__cell_line_Jurkat	4831	T-ALL Cell Line Jurkat	CAGE	Jurkat	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M2__cell_line_Kasumi_1	5249	FAB M2 AML Cell Line Kasumi-1	CAGE	Kasumi-1	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M0__cell_line_Kasumi_3	5220	FAB M0 AML Cell Line Kasumi-3	CAGE	Kasumi-3	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M2__cell_line_Kasumi_6	5185	FAB M2 AML Cell Line Kasumi-6	CAGE	Kasumi-6	Cancer	Unknown	Cell Line
CAGE_chronic_myeloblastic_leukemia__CML__cell_line_KCL_22	5045	Chronic Myeloblastic Leukemia (CML) Cell Line KCL-22 CAGE Track	CAGE	KCL-22	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M0__cell_line_KG_1	5186	FAB M0 AML Cell Line KG-1	CAGE	KG-1	Cancer	Unknown	Cell Line
CAGE_granulosa_cell_tumor_cell_line_KGN	4933	Granulosa Cell Tumor Cell Line KGN CAGE Track	CAGE	KGN Granulosa Cell Tumor	Cancer	Unknown	Cell Line
CAGE_anaplastic_large_cell_lymphoma_cell_line_Ki_JK	5040	Anaplastic Large Cell Lymphoma Cell Line Ki-JK CAGE Track	CAGE	Ki-JK	Cancer	Unknown	Cell Line
CAGE_ductal_cell_carcinoma_cell_line_KLM_1	4821	Ductal Cell Carcinoma Cell Line KLM-1 CAGE Track	CAGE	KLM-1	Cancer	Unknown	Cell Line
CAGE_liposarcoma_cell_line_KMLS_1	5032	Liposarcoma Cell Line KMLS-1 CAGE Track	CAGE	KMLS-1 Liposarcoma Cell Line	Cancer	Unknown	Cell Line
CAGE_bronchial_squamous_cell_carcinoma_cell_line_KNS_62	5025	Bronchial Squamous Cell Carcinoma Cell Line KNS-62 CAGE Track	CAGE	KNS-62	Cancer	Unknown	Cell Line
CAGE_chronic_myelogenous_leukemia_cell_line_KU812	4720	Chronic Myelogenous Leukemia Cell Line KU812 CAGE Track	CAGE	KU812	Cancer	Unknown	Cell Line
CAGE_hepatoma_cell_line_Li_7	4848	Hepatoma Cell Line Li-7 CAGE Track	CAGE	Li-7 Hepatoma Cell Line	Cancer	Unknown	Cell Line
CAGE_hepatic_mesenchymal_tumor_cell_line_LI90	5030	Hepatic Mesenchymal Tumor Cell Line LI90 CAGE Track	CAGE	LI90 Hepatic Mesenchymal Tumor	Cancer	Unknown	Cell Line
CAGE_giant_cell_carcinoma_cell_line_LU65	4851	Giant Cell Carcinoma Cell Line LU65 CAGE Track	CAGE	LU65 Giant Cell Carcinoma	Cancer	Unknown	Cell Line
CAGE_giant_cell_carcinoma_cell_line_Lu99B	4743	Giant Cell Carcinoma Cell Line Lu99B CAGE Track	CAGE	Lu99B Giant Cell Carcinoma	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M7__cell_line_M_MOK	5182	FAB M7 AML Cell Line M-MOK	CAGE	M-MOK	Cancer	Unknown	Cell Line
CAGE_maxillary_sinus_tumor_cell_line_HSQ_89	4725	Maxillary Sinus Tumor Cell Line HSQ 89	CAGE	Maxillary Sinus Tumor Cell Line HSQ 89	Cancer	Unknown	Cell Line
CAGE_breast_carcinoma_cell_line_MDA_MB_453	4729	Breast Carcinoma Cell Line MDA-MB-453 CAGE Track	CAGE	MDA-MB-453	Cancer	Unknown	Cell Line
CAGE_cervical_cancer_cell_line_ME_180	4865	Cervical Cancer Cell Line ME-180 CAGE Track	CAGE	ME-180	Cancer	Unknown	Cell Line
CAGE_medulloblastoma_cell_line_D283_Med	5154	Medulloblastoma Cell Line D283 Med	CAGE	Medulloblastoma Cell Line D283 Med	Cancer	Unknown	Cell Line
CAGE_medulloblastoma_cell_line_ONS_76	5024	Medulloblastoma Cell Line ONS 76	CAGE	Medulloblastoma Cell Line ONS 76	Cancer	Unknown	Cell Line
CAGE_leukemia__chronic_megakaryoblastic_cell_line_MEG_01	5022	Leukemia (Chronic Megakaryoblastic) Cell Line MEG-01 CAGE Track	CAGE	MEG-01 Leukemia (Chronic Megakaryoblastic) Cell Line	Cancer	Unknown	Cell Line
CAGE_chronic_myelogenous_leukemia__CML__cell_line_MEG_A2	5027	Chronic Myelogenous Leukemia (CML) Cell Line MEG-A2 CAGE Track	CAGE	MEG-A2	Cancer	Unknown	Cell Line
CAGE_melanoma_cell_line_COLO_679	4857	Melanoma Cell Line COLO 679	CAGE	Melanoma Cell Line COLO 679	Cancer	Unknown	Cell Line
CAGE_melanoma_cell_line_G_361	4832	Melanoma Cell Line G 361	CAGE	Melanoma Cell Line G 361	Cancer	Unknown	Cell Line
CAGE_meningioma_cell_line_HKBMM	5066	Meningioma Cell Line HKBMM	CAGE	Meningioma Cell Line HKBMM	Cancer	Unknown	Cell Line
CAGE_merkel_cell_carcinoma_cell_line_MKL_1	5160	Merkel Cell Carcinoma Cell Line MKL 1	CAGE	Merkel Cell Carcinoma Cell Line MKL 1	Cancer	Unknown	Cell Line
CAGE_merkel_cell_carcinoma_cell_line_MS_1	5161	Merkel Cell Carcinoma Cell Line MS 1	CAGE	Merkel Cell Carcinoma Cell Line MS 1	Cancer	Unknown	Cell Line
CAGE_mesodermal_tumor_cell_line_HIRS_BM	5087	Mesodermal Tumor Cell Line HIRS BM	CAGE	Mesodermal Tumor Cell Line HIRS BM	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_ACC_MESO_1	4840	Mesothelioma Cell Line ACC MESO 1	CAGE	Mesothelioma Cell Line ACC MESO 1	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_ACC_MESO_4	4841	Mesothelioma Cell Line ACC MESO 4	CAGE	Mesothelioma Cell Line ACC MESO 4	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_14__tech_	5198	Mesothelioma Cell Line Mero 14 (Tech)	CAGE	Mesothelioma Cell Line Mero 14 (Tech)	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_25	5199	Mesothelioma Cell Line Mero 25	CAGE	Mesothelioma Cell Line Mero 25	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_41	5200	Mesothelioma Cell Line Mero 41	CAGE	Mesothelioma Cell Line Mero 41	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_48a	5201	Mesothelioma Cell Line Mero 48a	CAGE	Mesothelioma Cell Line Mero 48a	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_82	5202	Mesothelioma Cell Line Mero 82	CAGE	Mesothelioma Cell Line Mero 82	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_83	5203	Mesothelioma Cell Line Mero 83	CAGE	Mesothelioma Cell Line Mero 83	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_84	5204	Mesothelioma Cell Line Mero 84	CAGE	Mesothelioma Cell Line Mero 84	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_Mero_95	5205	Mesothelioma Cell Line Mero 95	CAGE	Mesothelioma Cell Line Mero 95	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_NCI_H2052	5196	Mesothelioma Cell Line NCI H2052	CAGE	Mesothelioma Cell Line NCI H2052	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_NCI_H226	5195	Mesothelioma Cell Line NCI H226	CAGE	Mesothelioma Cell Line NCI H226	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_NCI_H2452	5197	Mesothelioma Cell Line NCI H2452	CAGE	Mesothelioma Cell Line NCI H2452	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_NCI_H28	5194	Mesothelioma Cell Line NCI H28	CAGE	Mesothelioma Cell Line NCI H28	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_No36	5206	Mesothelioma Cell Line No36	CAGE	Mesothelioma Cell Line No36	Cancer	Unknown	Cell Line
CAGE_mesothelioma_cell_line_ONE58	5207	Mesothelioma Cell Line ONE58	CAGE	Mesothelioma Cell Line ONE58	Cancer	Unknown	Cell Line
CAGE_ductal_cell_carcinoma_cell_line_MIA_Paca2	4837	Ductal Cell Carcinoma Cell Line MIA Paca2 CAGE Track	CAGE	MIA Paca2	Cancer	Unknown	Cell Line
CAGE_mixed_mullerian_tumor_cell_line_HTMMT	5065	Mixed Mullerian Tumor Cell Line HTMMT	CAGE	Mixed Mullerian Tumor Cell Line HTMMT	Cancer	Unknown	Cell Line
CAGE_gastric_adenocarcinoma_cell_line_MKN1	4930	Gastric Adenocarcinoma Cell Line MKN1 CAGE Track	CAGE	MKN1 Gastric Adenocarcinoma	Cancer	Unknown	Cell Line
CAGE_gastric_adenocarcinoma_cell_line_MKN45	4989	Gastric Adenocarcinoma Cell Line MKN45 CAGE Track	CAGE	MKN45 Gastric Adenocarcinoma	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M7__cell_line_MKPL_1	5046	FAB M7 AML Cell Line MKPL-1	CAGE	MKPL-1	Cancer	Unknown	Cell Line
CAGE_lymphoma__malignant__hairy_B_cell_cell_line_MLMA	5063	Lymphoma (Malignant Hairy B Cell) Cell Line MLMA CAGE Track	CAGE	MLMA Lymphoma (Malignant Hairy B Cell) Cell Line	Cancer	Unknown	Cell Line
CAGE_hairy_cell_leukemia_cell_line_Mo	5009	Hairy Cell Leukemia Cell Line Mo CAGE Track	CAGE	Mo Hairy Cell Leukemia	Cancer	Unknown	Cell Line
CAGE_mucinous_adenocarcinoma_cell_line_JHOM_1	4943	Mucinous Adenocarcinoma Cell Line JHOM 1	CAGE	Mucinous Adenocarcinoma Cell Line JHOM 1	Cancer	Unknown	Cell Line
CAGE_mucinous_cystadenocarcinoma_cell_line_MCAS	5034	Mucinous Cystadenocarcinoma Cell Line MCAS	CAGE	Mucinous Cystadenocarcinoma Cell Line MCAS	Cancer	Unknown	Cell Line
CAGE_biphenotypic_B_myelomonocytic_leukemia_cell_line_MV_4_11	5011	Biphenotypic B Myelomonocytic Leukemia Cell Line MV-4-11 CAGE Track	CAGE	MV-4-11	Cancer	Unknown	Cell Line
CAGE_mycosis_fungoides__T_cell_lymphoma_cell_line_HuT_102_TIB_162	5021	Mycosis Fungoides T Cell Lymphoma Cell Line HuT 102 TIB 162	CAGE	Mycosis Fungoides T Cell Lymphoma Cell Line HuT 102 TIB 162	Cancer	Unknown	Cell Line
CAGE_myeloma_cell_line_PCM6	4836	Myeloma Cell Line PCM6	CAGE	Myeloma Cell Line PCM6	Cancer	Unknown	Cell Line
CAGE_myxofibrosarcoma_cell_line_MFH_ino	4924	Myxofibrosarcoma Cell Line MFH ino	CAGE	Myxofibrosarcoma Cell Line MFH ino	Cancer	Unknown	Cell Line
CAGE_myxofibrosarcoma_cell_line_NMFH_1	4991	Myxofibrosarcoma Cell Line NMFH 1	CAGE	Myxofibrosarcoma Cell Line NMFH 1	Cancer	Unknown	Cell Line
CAGE_acute_lymphoblastic_leukemia__B_ALL__cell_line_NALM_6	4858	B-ALL Cell Line NALM-6	CAGE	NALM-6	Cancer	Unknown	Cell Line
CAGE_carcinoid_cell_line_NCI_H1770	5001	Carcinoid Cell Line NCI H1770 CAGE Track	CAGE	NCI H1770	Cancer	Unknown	Cell Line
CAGE_bronchioalveolar_carcinoma_cell_line_NCI_H358	5006	Bronchioalveolar Carcinoma Cell Line NCI H358 CAGE Track	CAGE	NCI H358	Cancer	Unknown	Cell Line
CAGE_bronchioalveolar_carcinoma_cell_line_NCI_H650	5298	Bronchioalveolar Carcinoma Cell Line NCI H650 CAGE Track	CAGE	NCI H650	Cancer	Unknown	Cell Line
CAGE_carcinoid_cell_line_NCI_H727	5311	Carcinoid Cell Line NCI H727 CAGE Track	CAGE	NCI H727	Cancer	Unknown	Cell Line
CAGE_lung_adenocarcinoma__papillary_cell_line_NCI_H441	5312	Lung Adenocarcinoma (Papillary) Cell Line NCI-H441 CAGE Track	CAGE	NCI-H441 Lung Adenocarcinoma (Papillary) Cell Line	Cancer	Unknown	Cell Line
CAGE_large_cell_lung_carcinoma_cell_line_NCI_H460	5155	Large Cell Lung Carcinoma Cell Line NCI-H460 CAGE Track	CAGE	NCI-H460 Large Cell Lung Carcinoma Cell Line	Cancer	Unknown	Cell Line
CAGE_neuroblastoma_cell_line_CHP_134	4853	Neuroblastoma Cell Line CHP 134	CAGE	Neuroblastoma Cell Line CHP 134	Cancer	Unknown	Cell Line
CAGE_neuroblastoma_cell_line_NB_1	4860	Neuroblastoma Cell Line NB 1	CAGE	Neuroblastoma Cell Line NB 1	Cancer	Unknown	Cell Line
CAGE_neuroblastoma_cell_line_NBsusSR	4988	Neuroblastoma Cell Line NBsusSR	CAGE	Neuroblastoma Cell Line NBsusSR	Cancer	Unknown	Cell Line
CAGE_neuroblastoma_cell_line_NH_12	4984	Neuroblastoma Cell Line NH 12	CAGE	Neuroblastoma Cell Line NH 12	Cancer	Unknown	Cell Line
CAGE_neuroectodermal_tumor_cell_line_FU_RPNT_1	4936	Neuroectodermal Tumor Cell Line FU RPNT 1	CAGE	Neuroectodermal Tumor Cell Line FU RPNT 1	Cancer	Unknown	Cell Line
CAGE_neuroectodermal_tumor_cell_line_FU_RPNT_2	4944	Neuroectodermal Tumor Cell Line FU RPNT 2	CAGE	Neuroectodermal Tumor Cell Line FU RPNT 2	Cancer	Unknown	Cell Line
CAGE_neuroectodermal_tumor_cell_line_TASK1	5028	Neuroectodermal Tumor Cell Line TASK1	CAGE	Neuroectodermal Tumor Cell Line TASK1	Cancer	Unknown	Cell Line
CAGE_neuroepithelioma_cell_line_SK_N_MC	5017	Neuroepithelioma Cell Line SK N MC	CAGE	Neuroepithelioma Cell Line SK N MC	Cancer	Unknown	Cell Line
CAGE_neurofibroma_cell_line_Hs_53_T	5018	Neurofibroma Cell Line Hs 53 T	CAGE	Neurofibroma Cell Line Hs 53 T	Cancer	Unknown	Cell Line
CAGE_NK_T_cell_leukemia_cell_line_KHYG_1	5029	NK T Cell Leukemia Cell Line KHYG 1	CAGE	NK T Cell Leukemia Cell Line KHYG 1	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M2__cell_line_NKM_1	5026	FAB M2 AML Cell Line NKM-1	CAGE	NKM-1	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M5__cell_line_NOMO_1	5183	FAB M5 AML Cell Line NOMO-1	CAGE	NOMO-1	Cancer	Unknown	Cell Line
CAGE_non_small_cell_lung_cancer_cell_line_NCI_H1385	5089	Non-Small Cell Lung Cancer Cell Line NCI H1385	CAGE	Non-Small Cell Lung Cancer Cell Line NCI H1385	Cancer	Unknown	Cell Line
CAGE_non_T_non_B_acute_lymphoblastic_leukemia__ALL__cell_line_P30_OHK	4740	Non-T Non-B Acute Lymphoblastic Leukemia (ALL) Cell Line P30 OHK	CAGE	Non-T Non-B Acute Lymphoblastic Leukemia (ALL) Cell Line P30 OHK	Cancer	Unknown	Cell Line
CAGE_endometrial_carcinoma_cell_line_OMC_2	4843	Endometrial Carcinoma Cell Line OMC-2 CAGE Track	CAGE	OMC-2	Cancer	Unknown	Cell Line
CAGE_endometrial_stromal_sarcoma_cell_line_OMC_9	4827	Endometrial Stromal Sarcoma Cell Line OMC-9 CAGE Track	CAGE	OMC-9	Cancer	Unknown	Cell Line
CAGE_oral_squamous_cell_carcinoma_cell_line_Ca9_22	4744	Oral Squamous Cell Carcinoma Cell Line Ca9-22	CAGE	Oral Squamous Cell Carcinoma Cell Line Ca9-22	Cancer	Unknown	Cell Line
CAGE_oral_squamous_cell_carcinoma_cell_line_HO_1_u_1	4863	Oral Squamous Cell Carcinoma Cell Line HO-1-u-1	CAGE	Oral Squamous Cell Carcinoma Cell Line HO-1-u-1	Cancer	Unknown	Cell Line
CAGE_oral_squamous_cell_carcinoma_cell_line_HSC_3	4916	Oral Squamous Cell Carcinoma Cell Line HSC-3	CAGE	Oral Squamous Cell Carcinoma Cell Line HSC-3	Cancer	Unknown	Cell Line
CAGE_oral_squamous_cell_carcinoma_cell_line_SAS	4983	Oral Squamous Cell Carcinoma Cell Line SAS	CAGE	Oral Squamous Cell Carcinoma Cell Line SAS	Cancer	Unknown	Cell Line
CAGE_osteoclastoma_cell_line_Hs_706_T	5002	Osteoclastoma Cell Line Hs 706 T	CAGE	Osteoclastoma Cell Line Hs 706 T	Cancer	Unknown	Cell Line
CAGE_osteosarcoma_cell_line_143B_TK^___neo^_R_	4855	Osteosarcoma Cell Line 143B TK^- neo^ R	CAGE	Osteosarcoma Cell Line 143B TK^- neo^ R	Cancer	Unknown	Cell Line
CAGE_osteosarcoma_cell_line_HS_Os_1	4866	Osteosarcoma Cell Line HS Os 1	CAGE	Osteosarcoma Cell Line HS Os 1	Cancer	Unknown	Cell Line
CAGE_acute_myeloid_leukemia__FAB_M5__cell_line_P31_FUJ	5184	FAB M5 AML Cell Line P31 FUJ	CAGE	P31 FUJ	Cancer	Unknown	Cell Line
CAGE_pagetoid_sarcoma_cell_line_Hs_925_T	5019	Pagetoid Sarcoma Cell Line Hs 925 T	CAGE	Pagetoid Sarcoma Cell Line Hs 925 T	Cancer	Unknown	Cell Line
CAGE_pancreatic_carcinoma_cell_line_NOR_P1	4999	Pancreatic Carcinoma Cell Line NOR P1	CAGE	Pancreatic Carcinoma Cell Line NOR P1	Cancer	Unknown	Cell Line
CAGE_papillary_adenocarcinoma_cell_line_8505C	4915	Papillary Adenocarcinoma Cell Line 8505C	CAGE	Papillary Adenocarcinoma Cell Line 8505C	Cancer	Unknown	Cell Line
CAGE_papillotubular_adenocarcinoma_cell_line_TGBC18TKB	4727	Papillotubular Adenocarcinoma Cell Line TGBC18TKB	CAGE	Papillotubular Adenocarcinoma Cell Line TGBC18TKB	Cancer	Unknown	Cell Line
CAGE_lung_adenocarcinoma_cell_line_PC_14	4719	Lung Adenocarcinoma Cell Line PC-14 CAGE Track	CAGE	PC-14 Lung Adenocarcinoma Cell Line	Cancer	Unknown	Cell Line
CAGE_peripheral_neuroectodermal_tumor_cell_line_KU_SN	4998	Peripheral Neuroectodermal Tumor Cell Line KU SN	CAGE	Peripheral Neuroectodermal Tumor Cell Line KU SN	Cancer	Unknown	Cell Line
CAGE_pharyngeal_carcinoma_cell_line_Detroit_562	5014	Pharyngeal Carcinoma Cell Line Detroit 562	CAGE	Pharyngeal Carcinoma Cell Line Detroit 562	Cancer	Unknown	Cell Line
CAGE_plasma_cell_leukemia_cell_line_ARH_77	5156	Plasma Cell Leukemia Cell Line ARH-77	CAGE	Plasma Cell Leukemia Cell Line ARH-77	Cancer	Unknown	Cell Line
CAGE_pleomorphic_hepatocellular_carcinoma_cell_line_SNU_387	5061	Pleomorphic Hepatocellular Carcinoma Cell Line SNU 387	CAGE	Pleomorphic Hepatocellular Carcinoma Cell Line SNU 387	Cancer	Unknown	Cell Line
CAGE_Burkitt's_lymphoma_cell_line_RAJI	4845	Burkitt's Lymphoma Cell Line RAJI CAGE Track	CAGE	RAJI	Cancer	Unknown	Cell Line
CAGE_rectal_cancer_cell_line_TT1TKB	4833	Rectal Cancer Cell Line TT1TKB	CAGE	Rectal Cancer Cell Line TT1TKB	Cancer	Unknown	Cell Line
CAGE_renal_cell_carcinoma_cell_line_OS_RC_2	4722	Renal Cell Carcinoma Cell Line OS RC 2	CAGE	Renal Cell Carcinoma Cell Line OS RC 2	Cancer	Unknown	Cell Line
CAGE_renal_cell_carcinoma_cell_line_TUHR10TKB	4835	Renal Cell Carcinoma Cell Line TUHR10TKB	CAGE	Renal Cell Carcinoma Cell Line TUHR10TKB	Cancer	Unknown	Cell Line
CAGE_retinoblastoma_cell_line_Y79	4844	Retinoblastoma Cell Line Y79	CAGE	Retinoblastoma Cell Line Y79	Cancer	Unknown	Cell Line
CAGE_rhabdomyosarcoma_cell_line_KYM_1	5037	Rhabdomyosarcoma Cell Line KYM-1	CAGE	Rhabdomyosarcoma Cell Line KYM-1	Cancer	Unknown	Cell Line
CAGE_rhabdomyosarcoma_cell_line_RMS_YM	4846	Rhabdomyosarcoma Cell Line RMS YM	CAGE	Rhabdomyosarcoma Cell Line RMS YM	Cancer	Unknown	Cell Line
CAGE_anaplastic_squamous_cell_carcinoma_cell_line_RPMI_2650	5047	Anaplastic Squamous Cell Carcinoma Cell Line RPMI-2650 CAGE Track	CAGE	RPMI-2650	Cancer	Unknown	Cell Line
CAGE_serous_adenocarcinoma_cell_line_JHOS_2	4938	Serous Adenocarcinoma Cell Line JHOS-2	CAGE	Serous Adenocarcinoma Cell Line JHOS-2	Cancer	Unknown	Cell Line
CAGE_serous_adenocarcinoma_cell_line_SK_OV_3_R__biol_	5208	Serous Adenocarcinoma Cell Line SK OV-3 R (Biol)	CAGE	Serous Adenocarcinoma Cell Line SK OV-3 R (Biol)	Cancer	Unknown	Cell Line
CAGE_serous_adenocarcinoma_cell_line_SK_OV_3_R_after_co_culture_with_SOC_57_02_G__biol_	5254	Serous Adenocarcinoma Cell Line SK OV-3 R after Co-culture with SOC 57-02 G (Biol)	CAGE	Serous Adenocarcinoma Cell Line SK OV-3 R after Co-culture with SOC 57-02 G (Biol)	Cancer	Unknown	Cell Line
CAGE_serous_cystadenocarcinoma_cell_line_HTOA	4995	Serous Cystadenocarcinoma Cell Line HTOA	CAGE	Serous Cystadenocarcinoma Cell Line HTOA	Cancer	Unknown	Cell Line
CAGE_signet_ring_carcinoma_cell_line_Kato_III	4745	Signet Ring Carcinoma Cell Line Kato III	CAGE	Signet Ring Carcinoma Cell Line Kato III	Cancer	Unknown	Cell Line
CAGE_signet_ring_carcinoma_cell_line_NUGC_4	4847	Signet Ring Carcinoma Cell Line NUGC-4	CAGE	Signet Ring Carcinoma Cell Line NUGC-4	Cancer	Unknown	Cell Line
CAGE_large_cell_non_keratinizing_squamous_carcinoma_cell_line_SKG_II_SF	4994	Large Cell Non-Keratinizing Squamous Carcinoma Cell Line SKG II SF CAGE Track	CAGE	SKG II SF Large Cell Non-Keratinizing Squamous Carcinoma Cell Line	Cancer	Unknown	Cell Line
CAGE_chronic_lymphocytic_leukemia__T_CLL__cell_line_SKW_3	4913	Chronic Lymphocytic Leukemia (T-CLL) Cell Line SKW-3 CAGE Track	CAGE	SKW-3	Cancer	Unknown	Cell Line
CAGE_small_cell_cervical_cancer_cell_line_HCSC_1	5044	Small Cell Cervical Cancer Cell Line HCSC-1	CAGE	Small Cell Cervical Cancer Cell Line HCSC-1	Cancer	Unknown	Cell Line
CAGE_small_cell_gastrointestinal_carcinoma_cell_line_ECC10	4929	Small Cell Gastrointestinal Carcinoma Cell Line ECC10	CAGE	Small Cell Gastrointestinal Carcinoma Cell Line ECC10	Cancer	Unknown	Cell Line
CAGE_small_cell_gastrointestinal_carcinoma_cell_line_ECC4	4928	Small Cell Gastrointestinal Carcinoma Cell Line ECC4	CAGE	Small Cell Gastrointestinal Carcinoma Cell Line ECC4	Cancer	Unknown	Cell Line
CAGE_small_cell_lung_carcinoma_cell_line_DMS_144	5157	Small Cell Lung Carcinoma Cell Line DMS-144	CAGE	Small Cell Lung Carcinoma Cell Line DMS-144	Cancer	Unknown	Cell Line
CAGE_small_cell_lung_carcinoma_cell_line_LK_2	4861	Small Cell Lung Carcinoma Cell Line LK-2	CAGE	Small Cell Lung Carcinoma Cell Line LK-2	Cancer	Unknown	Cell Line
CAGE_small_cell_lung_carcinoma_cell_line_NCI_H82	5158	Small Cell Lung Carcinoma Cell Line NCI-H82	CAGE	Small Cell Lung Carcinoma Cell Line NCI-H82	Cancer	Unknown	Cell Line
CAGE_small_cell_lung_carcinoma_cell_line_WA_hT	4985	Small Cell Lung Carcinoma Cell Line WA_hT	CAGE	Small Cell Lung Carcinoma Cell Line WA_hT	Cancer	Unknown	Cell Line
CAGE_somatostatinoma_cell_line_QGP_1	5031	Somatostatinoma Cell Line QGP-1	CAGE	Somatostatinoma Cell Line QGP-1	Cancer	Unknown	Cell Line
CAGE_spindle_cell_sarcoma_cell_line_Hs_132_T	5020	Spindle Cell Sarcoma Cell Line Hs-132 T	CAGE	Spindle Cell Sarcoma Cell Line Hs-132 T	Cancer	Unknown	Cell Line
CAGE_splenic_lymphoma_with_villous_lymphocytes_cell_line_SLVL	4734	Splenic Lymphoma with Villous Lymphocytes Cell Line SLVL	CAGE	Splenic Lymphoma with Villous Lymphocytes Cell Line SLVL	Cancer	Unknown	Cell Line
CAGE_squamous_cell_carcinoma_cell_line_EC_GI_10	4830	Squamous Cell Carcinoma Cell Line EC_GI_10	CAGE	Squamous Cell Carcinoma Cell Line EC_GI_10	Cancer	Unknown	Cell Line
CAGE_squamous_cell_carcinoma_cell_line_JHUS_nk1	4941	Squamous Cell Carcinoma Cell Line JHUS_nk1	CAGE	Squamous Cell Carcinoma Cell Line JHUS_nk1	Cancer	Unknown	Cell Line
CAGE_squamous_cell_carcinoma_cell_line_T3M_5	4932	Squamous Cell Carcinoma Cell Line T3M_5	CAGE	Squamous Cell Carcinoma Cell Line T3M_5	Cancer	Unknown	Cell Line
CAGE_squamous_cell_lung_carcinoma_cell_line_EBC_1	4850	Squamous Cell Lung Carcinoma Cell Line EBC_1	CAGE	Squamous Cell Lung Carcinoma Cell Line EBC_1	Cancer	Unknown	Cell Line
CAGE_squamous_cell_lung_carcinoma_cell_line_LC_1F	5307	Squamous Cell Lung Carcinoma Cell Line LC_1F	CAGE	Squamous Cell Lung Carcinoma Cell Line LC_1F	Cancer	Unknown	Cell Line
CAGE_squamous_cell_lung_carcinoma_cell_line_RERF_LC_AI	5309	Squamous Cell Lung Carcinoma Cell Line RERF_LC_AI	CAGE	Squamous Cell Lung Carcinoma Cell Line RERF_LC_AI	Cancer	Unknown	Cell Line
CAGE_synovial_sarcoma_cell_line_HS_SY_II	4825	Synovial Sarcoma Cell Line HS-SY-II	CAGE	Synoviocyte (Synovial Sarcoma)	Cancer	Unknown	Cell Line
CAGE_glioblastoma_cell_line_T98G	4849	Glioblastoma Cell Line T98G CAGE Track	CAGE	T98G Glioblastoma	Cancer	Unknown	Cell Line
CAGE_argyrophil_small_cell_carcinoma_cell_line_TC_YIK	4921	Argyrophil Small Cell Carcinoma Cell Line TC YIK CAGE Track	CAGE	TC YIK	Cancer	Unknown	Cell Line
CAGE_basal_cell_carcinoma_cell_line_TE_354_T	5060	Basal Cell Carcinoma Cell Line TE 354 T CAGE Track	CAGE	TE 354 T	Cancer	Unknown	Cell Line
CAGE_clear_cell_carcinoma_cell_line_TEN	5058	Clear Cell Carcinoma Cell Line TEN CAGE Track	CAGE	TEN	Cancer	Unknown	Cell Line
CAGE_teratocarcinoma_cell_line_NCC_IT_A3	5038	Teratocarcinoma Cell Line NCC-IT-A3	CAGE	Teratocarcinoma Cell Line NCC-IT-A3	Cancer	Unknown	Cell Line
